,h0,h1,h2,h3,h4,h5,h6,h7
plankton_z,0.059099319387202774,0.13764610592003185,0.11789565462649498,0.008857693360554163,0.03943988286629204,0.20318136912223617,0.07545957081764339,0.22947882362767738
planktosphaeria,0.005833255209689434,0.013016032308037101,0.006590840877131711,0.009260802241835099,0.01712431401164223,0.0440692383429703,0.01830856985135639,0.01049107845272514
polyarthra,0.14302679076895575,0.03272193951936191,0.05678683993899027,0.013935067492760146,0.13948324483069252,0.1300126589297716,0.12681149841328743,0.0242480176175661
protist_like_ciliate,0.29764797967089196,0.42364276247140603,0.5069654696778968,0.28924814567939283,0.2845162610320443,0.5439760356618608,0.20634085129528504,0.3692586531478177
rhodomonas,0.8258931639100581,0.7295048527116401,0.6965543836217214,0.7877866447646734,0.8854499878402154,0.7990370979734349,0.9185624165155686,0.7185463828127262
rotifer,0.7115535259848131,0.4760666469248565,0.5418084330328138,0.2809020467086204,0.6854822045581499,0.8181168964617941,0.5990898872848037,0.4632784528844482
rotifer_long,0.0018642139753981398,0.003366352672907539,0.005375422159781573,0.0011784485611495007,0.0030936689298554747,0.00349412620252695,0.0011114672439960255,0.0032440213675795217
rotifer_z,0.001992020567235056,0.002588096884962344,0.0019000234343016051,0.0006118472865013518,0.003476607638173683,0.004157162398465997,0.0005002016315492113,0.003497746554866021
scenedesmus,0.03389063542362436,0.1634606981152476,0.06669966474929447,0.03765564635321358,0.06107931322475436,0.09751256981218509,0.031121130632213667,0.197636392323171
snowella,0.004499591799971799,0.04050204263347239,0.02111029292854312,0.005368560923260629,0.0023269099411436086,0.00856144207337329,0.0014026335582945902,0.0038958143336059485
staurastrum,0.03818361620110109,0.050783800827764417,0.06755994917806489,0.027057450030423598,0.046664126888988355,0.07550987305406989,0.05530403419195137,0.09639485965736445
strombidium,0.0778357047630815,0.0699682616503064,0.12479494668163704,0.04930880925914728,0.10328348644472814,0.12195293814731795,0.06086226402499103,0.07130356379788054
synchaeta,0.02192686515157484,0.01322520489866074,0.01753521114596917,0.007401243515940306,0.014046833176536965,0.12803723971775888,0.09028290383507248,0.010062993877010654
synedra,0.038942947887112854,0.04905122299910886,0.010187759912010319,0.006637549515283819,0.01276400539376368,0.0817915541659146,0.0326029844106305,0.02563935148845126
synedra_angustissima,0.0064500595328390135,0.014812563267472323,0.033060536310189036,0.02777110659095991,0.03472150902605239,0.12168895263663655,0.12185490194257485,0.023816117939679003
synura,0.002151114325978644,0.0022358595567356053,0.0023829262945234894,0.0021698576812168454,0.0011727505027575714,0.0030982368861564792,0.003146406398114498,0.011664866657445688
tetraedron,0.04952106292027177,0.185912388977137,0.08033506945055632,0.031889704400242413,0.05764208222427403,0.06537635885407307,0.038115566490033816,0.10164516021909038
tintinnid,0.022506058130966754,0.02579955289447217,0.0542744429715046,0.03694333700596077,0.03329708191324904,0.05326698134858453,0.07060620874650281,0.03233384235984023
trichocerca,0.03818486341366131,0.07504985984435956,0.0546296945663868,0.021324000020984907,0.049238728457706715,0.05536467649992869,0.016459339225891025,0.038875223944592766
uroglena,0.29265091805297055,0.12801993905829306,0.0023332521074608584,0.01265240601018161,0.12826995419234735,0.04078090839244494,0.009688296039479119,0.21894030071466317
vorticella_epistylis_like,0.018330607633432503,0.05197762430163046,0.0695958666071888,0.05358610582738505,0.02417718037124095,0.058962079992189026,0.04208441424571991,0.03151686679603615
