,h0,h1,h2,h3,h4,h5,h6,h7
dinobryon,0.03374839037592413,0.004396649241768236,0.005610195341224979,0.0031976665307093546,0.003698805162272245,0.09483934920159064,0.003028386804744325,0.03745862424862934
dinoflagellate_diamond,0.0005703425809826627,0.00013331681023067503,0.0017741306004861656,0.002748444344658752,0.0015586521640422414,0.0005543627011526901,0.03188086517162929,0.00025097389041777856
dolichospermum,0.0003875043928137456,0.00022404771314357558,0.001106754422245708,0.0023027440045166377,0.0003316426138165258,0.00115275471365839,0.00043688267899663445,0.00355636717562072
eudiaptomus,0.003811854230412378,0.002084039731020564,0.0027852095883348607,0.0035961025028596514,0.0021453464885425135,0.0019502374254712984,0.004340291629847392,0.003145072479390509
fragilaria,0.0009695883527212467,0.0019949608402060996,0.0028305910376074097,0.013652393662066366,0.009363311371941276,0.027411542754139612,0.0003290277272057635,0.009336986566358936
gonium,3.85612468083638e-05,0.00011279745808460375,0.0002861193651022532,1.6764606993776108e-05,0.00015285317248470154,0.00020880257094228527,8.784096926752507e-06,0.00026650937269635826
gymnodinium,0.009103525590023302,0.005234697060894917,0.0185919861940664,0.016621896907713214,0.013644607234221633,0.014384299461696257,0.012862650254566888,0.00954810412228156
kellicottia,0.0033544869237381344,0.0004396504839130574,0.0033133709412130462,0.0030687840375444426,0.0025300040491615422,0.0027164299680353617,0.004225070870802363,0.0017099376861588746
keratella_cochlearis,0.0022773550753951775,0.0008317756689744275,0.0026069636531145194,0.002651180755772876,0.001228987361135891,0.002470060246234675,0.0010282599981356125,0.002247591040613601
keratella_quadrata,0.0015925101643901522,8.845021703736433e-05,0.001200364654170512,0.0006964546005584193,0.0011718289869577976,0.002416585075933404,0.000626429824714747,0.0008269867587163648
leptodora,0.00018655392218455555,0.0004076055509274636,0.0001886978940610937,0.000430296025318725,0.00027722491439609504,0.00019237701018302384,0.00010757109178183368,0.0002869023311568244
limnoraphis,0.0004813408647477258,0.001358789578573511,0.0013486367300946346,0.0027547023810004954,0.0006995574944001189,0.0006135015538140706,0.0002910486188291486,0.00046204207081757795
mallomonas_akrokomos,0.005689376166696377,0.0018067735155723244,0.003926679399633878,0.0017381490121294678,0.0009839523304224326,0.0037733205305883646,0.002751015433472789,0.0005419177778379605
mallomonas_big,0.010007341771969868,0.007724142344870787,0.010079088565037218,0.011834015690842711,0.003924121614008593,0.015123747809147723,0.01024615446204566,0.006732240441692544
nauplius,0.04960834818615359,0.009465921733987321,0.028561277306910115,0.022013208001593683,0.03131976637304658,0.024825347527640925,0.03587530902482998,0.021343084187309288
oocystaceae,0.07944129743660579,0.37419065608324736,0.11043162836853505,0.18318292407479214,0.10263384431022243,0.08363014865299336,0.03156558716643878,0.09095864301673236
pandorina,0.0003095501746615422,0.00012933908032034693,0.0008573790186899111,0.0003282918617799996,0.00041237515060538605,0.000669337567511773,0.0001922234067964647,0.00046392796899159746
