,h0,h1,h2,h3,h4,h5,h6,h7,h8
coleps,5.4346614389873386e-05,9.950027195157663e-05,0.00042498801866656363,0.0001221001639265357,3.408831914307459e-05,0.00011568753506248739,8.487471782227258e-05,8.49716066154345e-05,5.433129306156294e-05
collotheca,0.002423752387809729,0.0007916820444185955,0.001879595976487293,0.001215475426368165,0.00023549637880119337,0.0006412986625589571,0.0030128309380947015,0.000548664597967283,0.0009353823426665913
conochilus,0.0002909039222282986,0.00043111151443003316,0.002366170970930487,0.0004573369407630563,0.0022666555650735845,0.00037720903840152175,0.0001291094374085855,0.00046977328936650823,0.0015844099734157791
cosmarium,0.003283019397521648,0.004488412493680557,0.003679177788018496,0.00611622363155925,0.0028376683242217183,0.0020605879070896495,0.0070750259639782214,0.004355394061240202,0.004431605419037102
cryptophyte,0.2114943203228908,0.2536889314433825,0.1787507121142671,0.1755385405798625,0.4264160504729776,0.23824499797498092,0.16643064580233108,0.25239149417020745,0.17077799413899786
cyanobacteria_colonial_blue,0.003733858676224806,0.002141322720823443,0.0028665082425129457,0.0071779751838106,0.0014268703148710717,0.002838990331646337,0.03389644405194477,0.01856395179511047,0.012537987989878152
cyanobacteria_colonial_clathrate,0.00028257512518752075,0.0005176173583374824,0.0008381615015187903,0.000204458465133167,3.1631437282381104e-05,0.0002615957784392879,0.0016998038763945819,0.00016721445882856127,0.0012545102116699033
cyanobacteria_colonial_probably,0.009688319714727757,0.01593960827206839,0.015409632259727616,0.04008726685545881,0.004318884452731245,0.14521022758306762,0.021589307322251946,0.0038165442484666,0.015827431724961365
cyanobacteria_filamentous,0.02737488115192981,0.04336226983680527,0.1501110492175705,0.0018805010618593771,0.0026445192658961845,0.08717072460862003,0.006481332059548036,0.0012011123320024887,0.013135966288096029
cyclops,0.0229082495046915,0.031621269810498266,0.033398696157187824,0.02297789901716976,0.039976691001724386,0.02187664697759,0.025918785034050127,0.025741493320515313,0.0308753329399313
daphnia,0.005210044565094911,0.017854329465577943,0.007721664794727461,0.007833878456894101,0.007522536540904568,0.010712850094993485,0.006655764670553887,0.011186190853293516,0.012905133874977418
daphnia_cucullata,6.663947699546922e-05,5.694850039144714e-05,0.00014880311109701693,0.0002683347094003866,6.659799715102677e-06,0.00011335872414986515,5.01750882874264e-05,0.00017879154806890648,4.840653430609726e-05
diaphanosoma,0.00023262149764647304,0.00011665627677921594,0.0006110475507252174,0.0024489853538139207,4.607245346526517e-05,0.0010071246857110633,0.0003100022770216962,0.0006480604273654954,0.0003434091826241855
didinium,0.0002184875988005849,0.0001877682794763351,0.00031117766824663586,0.00021304429037367843,5.438209444352496e-05,4.30459367888491e-05,0.00023908189346415773,0.00029650567066070077,0.00010558701067238559
dinobryon,0.06530649873677871,0.023439809849678684,0.00446549206380682,0.0660830231462837,0.0034126705266557676,0.004528928552751183,0.006965508430919426,0.0047417455659546776,0.10422343824111185
dinoflagellate_diamond,0.005327599913843419,0.004237963087944491,0.003005890188321065,9.72383984495418e-05,0.004329752704871526,0.0011301120528153406,0.00041374436990222985,0.012845004752218307,0.00031332973451549383
dolichospermum,0.005433056495344775,0.0028109621294519715,0.0036068917217184446,0.0007349091007821271,0.0005730051093341171,0.0025965358104257674,0.0014273665350928765,0.0004559069518794198,0.003981699342014703
eudiaptomus,0.005837414736013158,0.015431369687190829,0.020540884863159997,0.006958032102446863,0.010097730227891835,0.009846115618994207,0.007079343964807377,0.009343306546909297,0.008902365852520851
fragilaria,0.00577216350704242,0.016268622496658294,0.00463349564520598,0.0014731856118911945,0.0006516511109294175,0.0011217809467984102,0.030343927233578753,0.0011540420842347649,0.016956748879259097
gonium,0.0007626776601871515,0.00029984060783821634,0.0003359086268218843,0.0002530482810929737,5.3055086487918463e-05,0.0001774639242079097,0.0022933862800118927,8.295212399984868e-05,0.00033959801863860535
gymnodinium,0.013908803066669168,0.004726217637236986,0.007793670800935644,0.00540490341421613,0.005901266532212807,0.004543634205559399,0.004313238568776692,0.008440965828524922,0.0035820981129212185
kellicottia,0.0048376929424460615,0.004586623569157128,0.008479198587383727,0.0023901475910482243,0.0067870838276333076,0.0030374148400611088,0.0027760631999723564,0.00694207347080202,0.005741087100795382
keratella_cochlearis,0.004508587225863995,0.005259848501638704,0.008388339799303047,0.003490108362344489,0.0021479972198320293,0.0017324958730043209,0.0032098531502698256,0.0028836129666936967,0.005194320860630949
keratella_quadrata,0.004873144285190706,0.004577871111941849,0.004416099942384691,0.0018188687232955927,0.0038670732272411655,0.0010777189407337896,0.0025344200182508495,0.0034464378254516446,0.012298655895194341
leptodora,0.0001556891848032807,0.00025331418604075976,0.0003564312454155089,0.00043235512897356077,3.0498146444037254e-05,0.0007651307299627057,0.00014894688062381346,0.00034639189244106786,0.0003939258601468739
limnoraphis,0.00028237119683406913,0.00013572655024481902,0.0004164798847911514,0.00028894187896071945,1.4297426427610774e-05,0.00027629463725183226,0.00020053126216144584,0.0003415038403058837,0.0001012629735493641
mallomonas_akrokomos,0.001873528317868238,0.0006218589725318516,0.008762422210652763,0.0021801688038511104,0.00337173045008874,0.0014439551262560339,0.005556631014179524,0.012708216503710935,0.008123082255821116
mallomonas_big,0.017575037502408655,0.011071495693586411,0.016537414233444403,0.010276610290818791,0.0017868034218260127,0.008384996738344102,0.01598846679429189,0.028966259998825232,0.014767281002403283
nauplius,0.034902217868708486,0.03924360185188972,0.04921759594172507,0.030052933727511465,0.07633761131889313,0.02156657322773109,0.0231620572105984,0.03785336662733454,0.036493811514077525
oocystaceae,0.011105803838394976,0.015781979974688685,0.007041906414595685,0.06564025674122995,0.0058181044409204435,0.023982505312194407,0.02003679009775973,0.023278228597203045,0.005213110552285112
pandorina,0.003550297007680501,0.00238521370500552,0.003216214358302151,0.0006435693904244402,0.000976489147596653,0.000556502585884331,0.002470175328752531,0.0014652344812414217,0.0024814941359644527
paradileptus,0.0018089469691548764,0.002289098374814561,0.0013813291800702657,0.0006435682347193536,0.00024649071427797545,0.001076167875729103,0.0026441959114257623,0.0009868873895040652,0.002925660249436563
pediastrum,0.0008280492639886686,0.0011839213711619713,0.003169024182284205,0.0009580112830453654,0.0003036627252794657,0.0018392043662275094,0.0026303717929372305,0.0013112203024065795,0.00151777149861308
pennate_diatom,0.04083419602609589,0.003600051771897405,0.011392665283594023,0.00046392271414479757,0.004061068781112664,0.006666649399546507,0.0313570894473907,0.0026913632851867405,0.0042080455781580576
peridinium,0.005383381828972663,0.0017505494854803104,0.005232360701262512,0.0055464949547661966,0.0006345292624707076,0.001245290549398346,0.0035218731582518994,0.00349292549802844,0.0013516751685125929
phacotus,0.008363109690708435,0.006229753368549676,0.0022995951939031468,0.004248422881638078,0.0014580604776738282,0.0035935628532957316,0.007365019207313268,0.0042310017223506505,0.010329818102867698
plankton_x,1.2497989917331359e-05,1.9907722470883426e-05,4.006137754385682e-05,2.554505901050525e-05,1.5030972266122774e-05,1.3984251106148334e-05,2.677683476950239e-05,1.5983139529802194e-05,1.5797720443253027e-05
plankton_y,0.001655046599914511,0.0007499848009203764,0.003201003294252069,0.0006809912782999747,0.0007903128310810263,0.0008800460565620312,0.0004956368834034439,0.0014144225005012173,0.0006269392981884716
plankton_z,0.005208113728252027,0.00010977114398333231,0.0007205838921100066,0.0006376518620456791,0.00017935847158708718,0.0010566000390943105,0.0005546126033852449,0.00025467511542971776,0.0008451671808518726
planktosphaeria,0.0008067307230473462,0.0010076059571133538,0.0003861457287674312,0.0002454117996977667,0.00012819061227542866,0.0006302551588282186,0.00038120586992243603,0.0016222838409296614,0.0013298174153168307
polyarthra,0.0012328540078488243,0.000592814391386074,0.001478300929808146,0.0005166153743066111,0.00524934003162233,0.0003866844900370088,0.002846585483359999,0.00411165795289543,0.005421083483834092
protist_like_ciliate,0.011222058378704545,0.0027013169021755544,0.005795709111563676,0.006968612401141419,0.0026792335915385235,0.00379175509141444,0.005357711445158004,0.006448009603457654,0.00395624225443097
rhodomonas,0.047692382598684135,0.045605145648465635,0.054744488167126765,0.03194701988291682,0.11462077927787209,0.05304655448340731,0.02162782950023922,0.08409406372413122,0.03200499337130174
rotifer,0.04966413386254893,0.03238663528547741,0.0422490591027257,0.027861730536712103,0.08120604870342879,0.019968755606146006,0.04483779746588661,0.05599299629462002,0.14312794178140978
rotifer_long,9.217412003692773e-05,6.448395274666907e-05,0.00023446044934191074,0.00012187920512521262,7.804209376714869e-05,4.267244436640842e-05,0.00015503753856504056,9.040708385148652e-05,8.101565305354667e-05
rotifer_z,5.420961352145256e-05,7.665092694476555e-05,0.00010083029095678077,0.00010614200709612764,2.263647192112611e-05,1.7954581855468098e-05,0.00010704027477772867,4.9767768015352656e-05,9.282278126786612e-05
scenedesmus,0.0012897389963149497,0.0004947386097949441,0.002272437304878668,0.0012264269675477462,0.0002320868985243345,0.0014332084347084687,0.0019319203376361607,0.00044706576315790706,0.001211252542041506
snowella,3.201057352703564e-05,1.116049496208999e-05,2.2557597058428818e-05,0.00012283934481398782,4.0416110491522365e-06,2.0508252043951344e-05,2.515940029634054e-05,0.0001567047286747125,9.907743530836645e-06
staurastrum,0.003300413112411538,0.003941798679786239,0.009816461156188836,0.002245731533562951,0.0033069308778629993,0.0020274990504052454,0.003408318826995526,0.0017123165021357925,0.0032909772864032124
strombidium,0.0029408607116117834,0.0019002722867540933,0.0033396657014113963,0.0022173087394114182,0.0029471899717824937,0.0015069213757699241,0.001738228038105049,0.0022966885531967916,0.0016464117265007705
synchaeta,0.0029977982807097075,0.002460330055677893,0.0021374015804578907,0.0008827238201347584,0.0008255704816457368,0.0004753618505809943,0.0009240049341719548,0.017702641235386875,0.0078060935095716644
synedra,0.001848942822668491,0.002355502014183282,0.001050806788401375,0.0012773226447440667,0.0019427848590961778,0.000611338378460552,0.0005902078960913188,0.0005002118809311035,0.002006068984256331
synedra_angustissima,0.0033793663572281468,0.0010853648887446494,0.0007015861050436861,7.129539147058848e-05,0.00010525455267970164,0.0010041324007141153,0.0011198704587137233,0.005699396013564037,0.001041631058602189
synura,0.00024063031914716562,0.00023519998014872982,0.0008396894756914769,0.00010091570096553248,4.27445879448383e-05,0.00024267461085405103,8.352881901689896e-05,3.911327007667509e-05,0.0002372079750379842
tetraedron,0.0013166864562873853,0.0007998922199872909,0.002055796871096295,0.0021739997187280795,0.000605382664355618,0.0020280151034118704,0.0016719623461161908,0.0012180892364406159,0.0007975742446408025
tintinnid,0.0022708707368950393,0.0019159060696240916,0.0031671231682641235,0.0006859622797016453,0.00107949944347512,0.0011226725834356363,0.0008947960112543686,0.002742867472661732,0.0011452856920475245
trichocerca,0.0006978558875484593,0.001013124485524907,0.0011054558415120954,0.0015082541347093326,0.0008306550559966605,0.0005539163908181923,0.0012179566724782208,0.0009795438948107889,0.0009315888325115219
uroglena,0.0005627756885148253,0.010087908023971555,0.0016260151564780815,0.017638673373651007,0.0019189490232842338,0.006332768272245528,0.00193132288385976,0.00021689403479856702,0.03657225956993271
vorticella_epistylis_like,0.0017016920237498104,0.0013820850807856535,0.002371753267751647,0.0007445850798680236,0.00040318945183195074,0.000641841081871822,0.001076769315844309,0.002269435510774017,0.0005337866207598048
