family,L,unit,n_days,fraction
nb_sigmoid,7,h5,3,0.0016
nb_sigmoid,7,h6,64,0.0336
nb_sigmoid,8,h0,838,0.4397
nb_sigmoid,8,h1,165,0.0866
nb_sigmoid,8,h2,178,0.0934
nb_sigmoid,8,h3,607,0.3185
nb_sigmoid,8,h4,14,0.0073
nb_sigmoid,8,h5,0,0.0
nb_sigmoid,8,h6,26,0.0136
nb_sigmoid,8,h7,78,0.0409
nb_softmax,4,h0,312,0.1637
nb_softmax,4,h1,758,0.3977
nb_softmax,4,h2,520,0.2728
nb_softmax,4,h3,316,0.1658
nb_softmax,5,h0,510,0.2676
nb_softmax,5,h1,587,0.308
nb_softmax,5,h2,323,0.1695
nb_softmax,5,h3,205,0.1076
nb_softmax,5,h4,281,0.1474
nb_softmax,6,h0,0,0.0
nb_softmax,6,h1,315,0.1653
nb_softmax,6,h2,260,0.1364
nb_softmax,6,h3,306,0.1605
nb_softmax,6,h4,494,0.2592
nb_softmax,6,h5,531,0.2786
nb_softmax,7,h0,434,0.2277
nb_softmax,7,h1,168,0.0881
nb_softmax,7,h2,529,0.2775
nb_softmax,7,h3,139,0.0729
nb_softmax,7,h4,295,0.1548
nb_softmax,7,h5,101,0.053
nb_softmax,7,h6,240,0.1259
nb_softmax,8,h0,577,0.3027
nb_softmax,8,h1,258,0.1354
nb_softmax,8,h2,185,0.0971
nb_softmax,8,h3,0,0.0
nb_softmax,8,h4,214,0.1123
nb_softmax,8,h5,0,0.0
nb_softmax,8,h6,522,0.2739
nb_softmax,8,h7,150,0.0787
zinb,10,h0,341,0.1789
zinb,10,h1,253,0.1327
zinb,10,h2,17,0.0089
zinb,10,h3,357,0.1873
zinb,10,h4,303,0.159
zinb,10,h5,324,0.17
zinb,10,h6,180,0.0944
zinb,10,h7,42,0.022
zinb,10,h8,9,0.0047
zinb,10,h9,80,0.042
zinb,5,h0,707,0.3709
zinb,5,h1,902,0.4732
zinb,5,h2,3,0.0016
zinb,5,h3,194,0.1018
zinb,5,h4,100,0.0525
zinb,6,h0,674,0.3536
zinb,6,h1,100,0.0525
zinb,6,h2,247,0.1296
zinb,6,h3,532,0.2791
zinb,6,h4,100,0.0525
zinb,6,h5,253,0.1327
zinb,7,h0,197,0.1034
zinb,7,h1,264,0.1385
zinb,7,h2,774,0.4061
zinb,7,h3,462,0.2424
zinb,7,h4,150,0.0787
zinb,7,h5,8,0.0042
zinb,7,h6,51,0.0268
zinb,8,h0,299,0.1569
zinb,8,h1,580,0.3043
zinb,8,h2,12,0.0063
zinb,8,h3,112,0.0588
zinb,8,h4,185,0.0971
zinb,8,h5,106,0.0556
zinb,8,h6,608,0.319
zinb,8,h7,4,0.0021
zinb,9,h0,747,0.3919
zinb,9,h1,18,0.0094
zinb,9,h2,320,0.1679
zinb,9,h3,324,0.17
zinb,9,h4,236,0.1238
zinb,9,h5,2,0.001
zinb,9,h6,9,0.0047
zinb,9,h7,164,0.086
zinb,9,h8,86,0.0451
zinb_relu,10,h0,0,0.0
zinb_relu,10,h1,358,0.1878
zinb_relu,10,h2,198,0.1039
zinb_relu,10,h3,300,0.1574
zinb_relu,10,h4,727,0.3814
zinb_relu,10,h5,66,0.0346
zinb_relu,10,h6,69,0.0362
zinb_relu,10,h7,0,0.0
zinb_relu,10,h8,188,0.0986
zinb_relu,10,h9,0,0.0
zinb_relu,4,h0,1479,0.776
zinb_relu,4,h1,427,0.224
zinb_relu,4,h2,0,0.0
zinb_relu,4,h3,0,0.0
zinb_relu,5,h0,596,0.3127
zinb_relu,5,h1,788,0.4134
zinb_relu,5,h2,319,0.1674
zinb_relu,5,h3,5,0.0026
zinb_relu,5,h4,198,0.1039
zinb_relu,6,h0,193,0.1013
zinb_relu,6,h1,721,0.3783
zinb_relu,6,h2,129,0.0677
zinb_relu,6,h3,548,0.2875
zinb_relu,6,h4,0,0.0
zinb_relu,6,h5,315,0.1653
zinb_relu,7,h0,370,0.1941
zinb_relu,7,h1,347,0.1821
zinb_relu,7,h2,719,0.3772
zinb_relu,7,h3,0,0.0
zinb_relu,7,h4,460,0.2413
zinb_relu,7,h5,8,0.0042
zinb_relu,7,h6,2,0.001
zinb_relu,8,h0,514,0.2697
zinb_relu,8,h1,142,0.0745
zinb_relu,8,h2,80,0.042
zinb_relu,8,h3,351,0.1842
zinb_relu,8,h4,23,0.0121
zinb_relu,8,h5,176,0.0923
zinb_relu,8,h6,80,0.042
