date,h0,h1,h2
2022-07-10,5.5892923e-36,0.0,3.9344825e-19
2022-07-11,4.347724e-33,0.0,2.5032588e-18
2022-07-12,1.4934262e-31,0.0,5.229932e-18
2022-07-13,8.109987e-33,0.0,1.652069e-17
2022-07-14,4.7469736e-36,0.0,6.732959e-19
2022-07-15,5.664282e-38,0.0,1.612461e-20
2022-07-16,0.0,0.0,2.0858587e-21
2022-07-17,0.0,0.0,2.2326328e-21
2022-07-18,0.0,0.0,1.2527626e-19
2022-07-20,1.7539365e-38,0.0,3.7658276e-19
2022-07-21,8.498054e-34,8.429203e-38,6.7757073e-18
2022-07-22,1.7551657e-33,2.157856e-38,9.847842e-19
2022-07-23,1.3138121e-32,6.9432153e-34,1.9958557e-18
2022-07-24,2.2119265e-25,1.5903842e-27,5.6650715e-19
2022-07-25,5.255704e-21,2.086979e-23,3.8455994e-19
2022-07-26,1.02256035e-20,1.3561136e-22,2.3796586e-18
2022-07-27,1.1824293e-17,7.1568636e-21,1.9864749e-18
2022-07-28,5.1382035e-15,3.0803782e-17,1.2979809e-17
2022-07-29,3.2011313e-10,1.1065715e-12,4.1262178e-17
2022-07-30,6.3400415e-07,8.645137e-09,2.2193407e-16
2022-07-31,9.72974e-06,4.442199e-08,2.1824672e-16
2022-08-01,2.3055734e-06,1.0321682e-08,1.4128746e-16
2022-08-02,2.8979255e-08,2.4244565e-10,1.0336456e-16
2022-08-03,8.558281e-09,4.90578e-11,8.815543e-17
2022-08-04,4.334215e-09,1.7074906e-11,4.5884374e-17
2022-08-05,1.6840743e-10,5.7087457e-10,1.5537233e-16
2022-08-06,8.234583e-12,5.842227e-11,2.55465e-16
2022-08-07,2.5366074e-16,4.3451943e-15,2.0154593e-16
2022-08-08,2.10523e-19,6.203189e-19,6.010486e-17
2022-08-09,4.905972e-24,8.020983e-24,1.8327311e-17
2022-08-10,4.3330226e-25,3.847451e-25,3.2266188e-18
2022-08-11,3.1532965e-31,3.5313208e-32,1.1215783e-18
2022-08-12,0.0,0.0,2.1602148e-20
2022-08-13,0.0,0.0,1.2225426e-20
2022-08-14,0.0,0.0,3.3426317e-19
2022-08-15,0.0,0.0,1.7427156e-19
2022-08-16,0.0,0.0,1.1776597e-21
2022-08-17,0.0,0.0,6.962089e-22
2022-08-18,0.0,0.0,5.1767515e-20
2022-08-19,0.0,0.0,4.529661e-22
2022-08-20,0.0,0.0,3.8124948e-22
2022-08-21,0.0,0.0,1.2828079e-20
2022-08-22,0.0,0.0,2.03386e-20
2022-08-23,0.0,0.0,5.1487263e-20
2022-08-24,0.0,0.0,1.8279952e-19
2022-08-25,0.0,0.0,2.1427778e-17
2022-08-26,0.0,0.0,5.8773783e-22
2022-08-27,0.0,0.0,2.9204855e-24
2022-08-28,0.0,0.0,9.0325005e-21
2022-08-29,0.0,0.0,1.8156735e-19
2022-08-30,0.0,0.0,4.0353757e-23
2022-08-31,0.0,0.0,3.7903707e-27
2022-09-01,0.0,0.0,3.3473026e-26
2022-09-02,0.0,0.0,1.9529865e-25
2022-09-03,0.0,0.0,3.2081201e-27
2022-09-04,0.0,0.0,5.6022933e-28
2022-09-05,0.0,0.0,2.4671456e-28
2022-09-06,0.0,0.0,6.728002e-27
2022-09-07,0.0,0.0,4.4584686e-28
2022-09-08,0.0,0.0,6.043346e-30
2022-09-09,0.0,0.0,6.463118e-30
2022-09-10,0.0,0.0,2.7683656e-30
2022-09-11,0.0,0.0,6.488138e-31
2022-09-12,0.0,0.0,9.155946e-33
2022-09-13,0.0,0.0,6.9572828e-37
2022-09-14,0.0,0.0,5.6475826e-38
2022-09-15,0.0,0.0,0.0
2022-09-16,0.0,0.0,0.0
2022-09-17,0.0,0.0,2.9682793e-37
2022-09-18,0.0,0.0,5.5266567e-38
2022-09-19,0.0,0.0,1.979353e-37
2022-09-20,0.0,0.0,2.5599969e-38
2022-09-21,0.0,0.0,3.0019496e-38
2022-09-22,0.0,0.0,4.300568e-39
2022-09-23,0.0,0.0,0.0
2022-09-24,0.0,0.0,0.0
2022-09-25,0.0,0.0,0.0
2022-09-26,0.0,0.0,0.0
2022-09-27,0.0,0.0,0.0
2022-09-28,0.0,0.0,0.0
2022-09-29,0.0,0.0,3.752024e-39
2022-09-30,0.0,0.0,5.1634337e-37
2022-11-01,0.31404313,8.736399e-18,1.0
2022-11-02,0.9999982,5.084142e-13,1.0
2022-11-03,1.0,2.801327e-07,1.0
2022-11-04,1.0,0.007913788,1.0
2022-11-05,1.0,0.9999422,1.0
2022-11-06,1.0,1.0,1.0
2022-11-07,1.0,1.0,1.0
2022-11-08,1.0,1.0,1.0
2022-11-09,1.0,1.0,1.0
2022-11-10,1.0,1.0,1.0
2022-11-11,1.0,1.0,1.0
2022-11-12,1.0,1.0,1.0
2022-11-13,1.0,1.0,1.0
2022-11-14,1.0,1.0,1.0
2022-11-15,1.0,1.0,1.0
2022-11-16,1.0,1.0,1.0
2022-11-17,1.0,1.0,1.0
2022-11-18,1.0,1.0,1.0
2022-11-19,1.0,1.0,1.0
2022-11-20,1.0,1.0,1.0
2022-11-21,1.0,1.0,1.0
2022-11-22,1.0,1.0,1.0
2022-11-23,1.0,1.0,1.0
2022-11-24,1.0,1.0,1.0
2022-11-29,1.0,1.0,1.0
2022-12-01,1.0,1.0,1.0
2022-12-02,1.0,1.0,1.0
2022-12-03,1.0,1.0,1.0
2022-12-04,1.0,1.0,1.0
2022-12-05,1.0,1.0,1.0
2022-12-06,1.0,1.0,1.0
2022-12-07,1.0,1.0,1.0
2022-12-08,1.0,1.0,1.0
2022-12-09,1.0,1.0,1.0
2022-12-13,1.0,1.0,1.0
2022-12-14,1.0,1.0,1.0
2022-12-15,1.0,1.0,1.0
2022-12-16,1.0,1.0,1.0
2022-12-17,1.0,1.0,1.0
2022-12-18,1.0,1.0,1.0
2022-12-19,1.0,1.0,1.0
2022-12-20,1.0,1.0,1.0
2022-12-22,1.0,1.0,1.0
2022-12-23,1.0,1.0,1.0
2022-12-24,1.0,1.0,1.0
2022-12-25,1.0,1.0,1.0
2022-12-26,1.0,1.0,1.0
2022-12-27,1.0,1.0,1.0
2022-12-28,1.0,1.0,1.0
2022-12-29,1.0,1.0,1.0
2022-12-30,1.0,1.0,1.0
2022-12-31,1.0,1.0,1.0
2023-01-01,1.0,1.0,1.0
2023-01-02,1.0,1.0,1.0
2023-01-03,1.0,1.0,1.0
2023-01-04,1.0,1.0,1.0
2023-01-05,1.0,1.0,1.0
2023-01-06,1.0,1.0,1.0
2023-01-07,1.0,1.0,1.0
2023-01-08,1.0,1.0,1.0
2023-01-09,1.0,1.0,1.0
2023-01-10,1.0,1.0,1.0
2023-01-11,1.0,1.0,1.0
2023-01-12,1.0,1.0,1.0
2023-01-13,1.0,1.0,1.0
2023-01-14,1.0,1.0,1.0
2023-01-15,1.0,1.0,1.0
2023-01-16,1.0,1.0,1.0
2023-01-17,1.0,1.0,1.0
2023-01-18,1.0,1.0,1.0
2023-01-19,1.0,1.0,1.0
2023-01-20,1.0,1.0,1.0
2023-01-21,1.0,1.0,1.0
2023-01-22,1.0,1.0,1.0
2023-01-23,1.0,1.0,1.0
2023-01-24,1.0,1.0,1.0
2023-01-25,1.0,1.0,1.0
2023-01-26,1.0,1.0,1.0
2023-01-27,1.0,1.0,1.0
2023-01-28,1.0,1.0,1.0
2023-01-29,1.0,1.0,1.0
2023-01-30,1.0,1.0,1.0
2023-01-31,1.0,1.0,1.0
2023-02-01,1.0,1.0,1.0
2023-02-02,1.0,1.0,1.0
2023-02-03,1.0,1.0,1.0
2023-02-04,1.0,1.0,1.0
2023-02-05,1.0,1.0,1.0
2023-02-06,1.0,1.0,1.0
2023-02-07,1.0,1.0,1.0
2023-02-08,1.0,1.0,1.0
2023-02-11,1.0,1.0,1.0
2023-02-12,1.0,1.0,1.0
2023-02-13,1.0,1.0,1.0
2023-02-14,1.0,1.0,1.0
2023-02-15,1.0,1.0,1.0
2023-02-18,1.0,1.0,1.0
2023-02-19,1.0,1.0,1.0
2023-02-21,1.0,1.0,1.0
2023-02-22,1.0,1.0,1.0
