date,h0,h1,h2,h3,h4
2020-12-30,1.0,0.99994063,0.99983025,3.1399337e-05,4.553889e-06
2020-12-31,1.0,0.9999262,0.99990237,5.5935096e-05,2.8186435e-06
2021-01-01,1.0,0.9999496,0.9999225,6.516163e-05,1.6382187e-06
2021-01-02,1.0,0.9999881,0.99983275,4.6533027e-05,9.3311263e-07
2021-01-03,1.0,0.99997854,0.99978024,3.4269764e-05,1.0662224e-06
2021-01-04,1.0,0.99998736,0.99977976,3.1405085e-05,1.1252405e-06
2021-01-05,1.0,0.9999862,0.9998267,3.6660265e-05,7.6972236e-07
2021-01-06,1.0,0.9999881,0.99988365,4.446366e-05,6.9697234e-07
2021-01-07,1.0,0.99999297,0.9999311,6.3083025e-05,5.4782845e-07
2021-01-08,1.0,0.9999863,0.9999386,6.5445354e-05,6.683134e-07
2021-01-09,1.0,0.9999895,0.9999846,0.00014586563,3.2632727e-07
2021-01-10,1.0,0.99999654,0.99997044,0.00019542988,1.916421e-07
2021-01-11,1.0,0.99999714,0.99998105,0.00023439873,1.1681734e-07
2021-01-12,1.0,0.9999987,0.9999808,0.00020191062,7.461936e-08
2021-01-13,1.0,0.99999833,0.9999844,0.00033454414,8.671051e-08
2021-01-14,1.0,0.9999999,0.99998116,0.0008044729,1.234072e-08
2021-01-15,1.0,0.9999999,0.99998295,0.00063675625,1.5426474e-08
2021-01-16,1.0,0.99999976,0.9999883,0.0009795028,2.1620831e-08
2021-01-17,1.0,1.0,0.99998534,0.0017654435,4.321775e-09
2021-01-18,1.0,1.0,0.9999937,0.0049468093,1.230053e-09
2021-01-19,1.0,1.0,0.9999919,0.0027979242,1.6331088e-09
2021-01-20,1.0,1.0,0.9999956,0.017740445,2.5700628e-10
2021-01-21,1.0,0.99999976,0.9999993,0.036642004,1.04486614e-10
2021-01-22,1.0,1.0,0.99999976,0.19319569,8.271891e-12
2021-01-23,1.0,1.0,0.9999969,0.17163885,4.8323563e-12
2021-01-24,1.0,1.0,0.9999982,0.6244237,2.2615892e-13
2021-01-25,1.0,1.0,0.9999982,0.73642147,1.11617773e-13
2021-01-26,1.0,1.0,0.99999714,0.8814589,2.1441302e-14
2021-01-27,1.0,1.0,0.9999987,0.9548613,4.9207075e-15
2021-01-28,1.0,1.0,0.99999917,0.9959726,1.3516811e-16
2021-01-29,1.0,1.0,0.9999995,0.9995801,5.7013453e-18
2021-01-30,1.0,1.0,0.9999999,0.9999794,2.6939965e-19
2021-01-31,1.0,1.0,1.0,0.999998,1.4935769e-20
2021-02-01,1.0,1.0,1.0,0.999998,2.0288233e-20
2021-02-02,1.0,1.0,1.0,0.9999999,8.846991e-21
2021-02-03,1.0,1.0,1.0,0.9999999,1.7211315e-19
2021-02-04,0.99999964,1.0,1.0,1.0,1.5392222e-17
2021-02-05,0.9903072,1.0,1.0,1.0,2.7589764e-12
2021-02-06,0.9766722,1.0,1.0,1.0,5.886903e-11
2021-02-07,0.99995136,1.0,1.0,1.0,1.2466243e-16
2021-02-08,1.0,1.0,1.0,1.0,1.6194515e-20
2021-02-09,0.9999999,1.0,1.0,1.0,2.3977084e-19
2021-02-10,1.0,1.0,0.9999999,1.0,2.6579917e-20
2021-02-11,1.0,1.0,0.9999999,1.0,1.05717415e-22
2021-02-12,1.0,1.0,1.0,1.0,3.9176473e-20
2021-02-13,0.9999999,1.0,1.0,1.0,1.7185344e-18
2021-02-14,0.9999999,1.0,1.0,1.0,3.7938887e-18
2021-02-15,0.99999964,1.0,1.0,1.0,2.1211187e-11
2021-02-16,0.9999995,1.0,1.0,1.0,2.3291324e-10
2021-02-17,0.99999964,1.0,1.0,0.99999964,2.4155044e-08
2021-02-18,0.99999976,1.0,0.9999999,0.9999515,8.6557404e-05
2021-02-19,0.99999774,1.0,1.0,0.9999374,0.26281938
2021-02-20,0.9999999,1.0,0.9999999,0.9908957,0.5937816
2021-02-21,1.0,1.0,0.9999999,0.9059607,0.7240841
2021-02-22,1.0,0.9999999,0.9999995,0.51683456,0.20307942
2021-02-23,1.0,0.9999982,0.99999976,0.41096938,0.026977025
2021-02-24,1.0,0.99995935,0.99999917,0.029938165,0.0043272306
2021-02-25,1.0,0.9999291,0.9999999,0.03715851,0.007873726
2021-02-26,1.0,0.99992836,0.9999988,0.0077746343,0.0053862813
2021-02-27,0.99999964,1.0,1.0,0.9999474,0.0003109702
2021-02-28,0.9999999,1.0,1.0,0.9899067,0.0070858193
2021-03-01,0.99999917,0.99911994,1.0,0.89862686,0.00041711453
2021-03-02,0.99977475,0.023264669,1.0,0.9920473,2.9699029e-06
2021-03-03,0.9998374,0.0003244807,1.0,0.98529726,2.2278667e-07
2021-03-04,0.9994616,2.1050366e-06,1.0,0.9514026,3.1318628e-08
2021-03-05,0.9988148,6.2446496e-05,1.0,0.97739977,1.1123639e-07
